bound	ckpt	budget	trips	rc	verdict	status	rel
static	none	0	20	0	RAN	EXACT	2.09736e-15
traced	none	0	20	0	RAN	COMPILE_FAIL	NaN
traced	binomial	2	20	0	RAN	EXACT	2.09736e-15
traced	binomial	3	20	0	RAN	EXACT	2.09736e-15
traced	binomial	4	20	0	RAN	EXACT	2.09736e-15
traced	binomial	5	20	0	RAN	EXACT	2.09736e-15
traced	binomial	6	20	0	RAN	EXACT	2.09736e-15
traced	binomial	8	20	0	RAN	EXACT	2.09736e-15
traced	binomial	10	20	0	RAN	EXACT	2.09736e-15
traced	binomial	12	20	0	RAN	EXACT	2.09736e-15
traced	binomial	16	20	0	RAN	EXACT	2.09736e-15
traced	periodic	2	20	0	RAN	COMPILE_FAIL	NaN
traced	periodic	5	20	0	RAN	COMPILE_FAIL	NaN
traced	periodic	10	20	0	RAN	COMPILE_FAIL	NaN
static	binomial	2	20	0	RAN	EXACT	2.09736e-15
static	binomial	5	20	0	RAN	EXACT	2.09736e-15
static	binomial	10	20	0	RAN	EXACT	2.09736e-15
static	periodic	5	20	0	RAN	EXACT	2.09736e-15
static	auto	0	20	0	RAN	EXACT	2.09736e-15
traced	auto	0	20	0	RAN	COMPILE_FAIL	NaN
